Account,date,daily_pnl,net_pnl_after_fee,trade_count,avg_trade_size,total_volume,avg_leverage,pnl_std,win_rate,long_ratio,close_ratio,total_fees,fear_greed_value,daily_pnl_roll3,trade_count_roll3,win_rate_roll3,fear_greed_value_roll3,daily_pnl_lag1,win_rate_lag1,pnl_std_lag1,next_day_pnl,profitability_bucket
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-13,2390.12335,2374.096825,101,1278.79198019802,129157.99,0.10305335600806277,47.58164510464363,0.8316831683168316,0.0,0.8316831683168316,16.026525,50.0,-6753.135338666666,60.333333333333336,0.4802454704850964,45.333333333333336,-22303.603584,0.23728813559322035,625.9734311104521,462.740727,Low Profit
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-01-26,38294.693499,37968.445833,123,7578.344634146341,932136.39,0.06246900810227187,847.0343024082055,0.6666666666666666,0.21138211382113822,0.6585365853658537,326.247666,73.0,0.0,12.0,0.0,73.66666666666667,0.0,0.0,0.0,0.0,Low Profit
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-04-07,-9593.258137,-9744.254048,386,1632.7632383419689,630246.61,0.05182636299426658,101.83775760350939,0.05181347150259067,1.0,0.6062176165803109,150.995911,23.0,-523.5405809999892,176.66666666666666,0.24966096222150472,30.666666666666668,1828.77716,0.2894736842105263,47.798621053654,11735.32104,High Profit
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-05,-5843.04,-5862.283243999999,2,42921.479999999996,85842.95999999999,3.458891381339457,4131.653206744245,0.0,0.0,0.5,19.243244,20.0,1960.462959333334,66.33333333333333,0.8169532069486017,26.666666666666668,-370.250064,0.6039603960396039,26.205461169441232,556.480533,Low Profit
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-15,3774.08872,3750.942997,38,6344.664210526315,241097.24,0.5112942134167411,169.9212307644182,0.9210526315789473,0.631578947368421,0.9210526315789473,23.145723,74.0,3107.0744496666666,69.0,0.7734234027990565,74.33333333333333,461.97292000000004,0.6976744186046512,42.272892901650174,2467.702221,High Profit
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-26,444.464792,417.061684,96,815.5705208333334,78294.77,0.08155732937825316,16.31680135827449,0.21875,0.0,0.3020833333333333,27.403108,73.0,2972.144703666667,149.0,0.2423676731873455,75.0,1125.196124,0.22522522522522523,34.93899961604155,4321.583224999999,High Profit
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-14,19.530304,19.513244,2,25.39,50.78,0.00077660787346405,1.6607590695558463,1.0,0.0,0.0,0.01706,48.0,-1992.7955066666666,2.3333333333333335,0.2222222222222222,75.33333333333333,0.0,0.0,0.0,-350.632694,Loss
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-21,165.776644,164.436629,15,301.59066666666666,4523.86,0.10053022222222219,16.844847914043424,0.7333333333333333,0.3333333333333333,0.7333333333333333,1.340015,55.0,197.9752453333334,29.666666666666668,0.49641716308382966,46.666666666666664,168.02346899999998,0.8461538461538461,18.31043129711919,31.523152,Low Profit
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-03-28,1470.407794,1416.5034580000001,84,1909.8789285714288,160429.83000000002,0.002435181270487156,46.51803155925368,1.0,1.0,1.0,53.904336,44.0,5712.47495,95.0,0.38345864661654133,40.333333333333336,0.0,0.0,0.0,0.0,Low Profit
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-19,0.0,-3.173628,4,2266.8775,9067.51,0.020671665169721274,0.0,0.0,1.0,0.0,3.173628,79.0,219.42097166666667,10.666666666666666,0.15079365079365079,79.0,0.0,0.0,0.0,0.0,Low Profit
